วันที่,day_name,day_type,is_holiday,holiday_subject,รถไฟฟ้า ARL,รถไฟฟ้า BTS,รถไฟฟ้าสายสีชมพู,รถไฟฟ้าสายสีน้ำเงิน,รถไฟฟ้าสายสีม่วง,รถไฟฟ้าสายสีเหลือง,รถไฟฟ้าสายสีแดง,rain_average,day_of_week,is_weekend,month,rain
2020-03-29,วันอาทิตย์,0,normal,normal,9436.0,62500.0,,28069.0,4228.0,,,0.0,6,1,3,0
2020-03-30,วันจันทร์,1,normal,normal,18255.0,202000.0,,99882.0,14182.0,,,0.0,0,0,3,0
2020-03-31,วันอังคาร,1,normal,normal,17757.0,197000.0,,98342.0,13926.0,,,0.0,1,0,3,0
2020-04-01,วันพุธ,1,normal,normal,16626.0,189500.0,,94105.0,13472.0,,,0.0,2,0,4,0
2020-04-02,วันพหัสบดี,1,normal,normal,15554.0,175500.0,,87539.0,12780.0,,,0.0,3,0,4,0
2020-04-03,วันศุกร์,1,normal,normal,15419.0,176500.0,,87026.0,12931.0,,,0.0,4,0,4,0
2020-04-04,วันเสาร์,0,normal,normal,7393.0,79900.0,,35134.0,6118.0,,,0.0,5,1,4,0
2020-04-05,วันอาทิตย์,0,normal,normal,5430.0,57300.0,,24355.0,4137.0,,,0.0,6,1,4,0
2020-04-06,วันจันทร์,0,holiday,วันจักรี,7344.0,78400.0,,31235.0,5564.0,,,0.0,0,0,4,0
2020-04-07,วันอังคาร,1,normal,normal,15516.0,178700.0,,89515.0,13179.0,,,0.0,1,0,4,0
2020-04-08,วันพุธ,1,normal,normal,14655.0,167100.0,,83999.0,12569.0,,,0.0,2,0,4,0
2020-04-09,วันพหัสบดี,1,normal,normal,14160.0,164600.0,,81883.0,12451.0,,,0.0,3,0,4,0
2020-04-10,วันศุกร์,1,normal,normal,14169.0,167500.0,,83856.0,12790.0,,,0.0,4,0,4,0
2020-04-11,วันเสาร์,0,normal,normal,6920.0,76800.0,,34851.0,6080.0,,,0.3777777777777778,5,1,4,0
2020-04-12,วันอาทิตย์,0,normal,normal,5182.0,56100.0,,23966.0,4263.0,,,0.0,6,1,4,0
2020-04-13,วันจันทร์,0,holiday,สงกรานต์,14065.0,160300.0,,80730.0,12207.0,,,16.022222222222226,0,0,4,1
2020-04-14,วันอังคาร,0,holiday,สงกรานต์,13463.0,157300.0,,78226.0,12035.0,,,0.0222222222222222,1,0,4,0
2020-04-15,วันพุธ,0,holiday,สงกรานต์,14010.0,160800.0,,81895.0,12317.0,,,0.0,2,0,4,0
2020-04-16,วันพหัสบดี,1,normal,normal,13748.0,164500.0,,81586.0,12674.0,,,5.0,3,0,4,0
2020-04-17,วันศุกร์,1,normal,normal,14452.0,168200.0,,83687.0,13121.0,,,2.822222222222222,4,0,4,0
2020-04-18,วันเสาร์,0,normal,normal,7053.0,79800.0,,36456.0,6507.0,,,2.022222222222222,5,1,4,0
2020-04-19,วันอาทิตย์,0,normal,normal,5567.0,56400.0,,26412.0,4738.0,,,0.977777777777778,6,1,4,0
2020-04-20,วันจันทร์,1,normal,normal,15733.0,179900.0,,91951.0,14185.0,,,0.0444444444444444,0,0,4,0
2020-04-21,วันอังคาร,1,normal,normal,14776.0,174900.0,,88817.0,13753.0,,,0.0,1,0,4,0
2020-04-22,วันพุธ,1,normal,normal,15374.0,176400.0,,90443.0,13653.0,,,0.0,2,0,4,0
2020-04-23,วันพหัสบดี,1,normal,normal,14859.0,170500.0,,89194.0,13781.0,,,0.0,3,0,4,0
2020-04-24,วันศุกร์,1,normal,normal,15524.0,181300.0,,91559.0,14131.0,,,0.0888888888888888,4,0,4,0
2020-04-25,วันเสาร์,0,normal,normal,7409.0,82000.0,,37633.0,7081.0,,,28.666666666666668,5,1,4,1
2020-04-26,วันอาทิตย์,0,normal,normal,5878.0,65900.0,,30528.0,5524.0,,,1.3999999999999997,6,1,4,0
2020-04-27,วันจันทร์,1,normal,normal,16612.0,193200.0,,98678.0,15165.0,,,1.9777777777777776,0,0,4,0
2020-04-28,วันอังคาร,1,normal,normal,16757.0,192100.0,,97973.0,14751.0,,,0.0,1,0,4,0
2020-04-29,วันพุธ,1,normal,normal,16745.0,194900.0,,98152.0,15090.0,,,14.533333333333337,2,0,4,1
2020-04-30,วันพหัสบดี,1,normal,normal,18022.0,212200.0,,107261.0,16275.0,,,0.4222222222222223,3,0,4,0
2020-05-01,วันศุกร์,0,holiday,วันแรงงาน (เอกชน),9763.0,112200.0,,50418.0,10058.0,,,0.0222222222222222,4,0,5,0
2020-05-02,วันเสาร์,0,normal,normal,8275.0,97600.0,,45956.0,8279.0,,,0.0,5,1,5,0
2020-05-03,วันอาทิตย์,0,normal,normal,6949.0,86300.0,,39774.0,6970.0,,,0.0666666666666666,6,1,5,0
2020-05-04,วันจันทร์,0,holiday,วันฉัตรมงคล,9929.0,121200.0,,55738.0,9080.0,,,0.0,0,0,5,0
