วันที่,day_name,day_type,holiday_type,holiday_subject,ยานพาหนะ/ท่า,ปริมาณ
2020-02-26,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,378658.0
2020-02-26,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีม่วง,48133.0
2020-02-26,วันพุธ,1,normal,normal,รถไฟฟ้า ARL,67225.0
2020-02-26,วันพุธ,1,normal,normal,รถไฟฟ้า BTS,783500.0
2020-02-27,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,367496.0
2020-02-27,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีม่วง,47207.0
2020-02-27,วันพหัสบดี,1,normal,normal,รถไฟฟ้า ARL,66689.0
2020-02-27,วันพหัสบดี,1,normal,normal,รถไฟฟ้า BTS,768900.0
2020-02-28,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,393497.0
2020-02-28,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,48288.0
2020-02-28,วันศุกร์,1,normal,normal,รถไฟฟ้า ARL,71026.0
2020-02-28,วันศุกร์,1,normal,normal,รถไฟฟ้า BTS,827000.0
2020-02-29,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,232369.0
2020-02-29,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีม่วง,29452.0
2020-02-29,วันเสาร์,0,normal,normal,รถไฟฟ้า ARL,45447.0
2020-02-29,วันเสาร์,0,normal,normal,รถไฟฟ้า BTS,520900.0
2020-03-01,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,183140.0
2020-03-01,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีม่วง,22269.0
2020-03-01,วันอาทิตย์,0,normal,normal,รถไฟฟ้า ARL,42549.0
2020-03-01,วันอาทิตย์,0,normal,normal,รถไฟฟ้า BTS,427000.0
2020-03-02,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,361736.0
2020-03-02,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,45914.0
2020-03-02,วันจันทร์,1,normal,normal,รถไฟฟ้า ARL,64400.0
2020-03-02,วันจันทร์,1,normal,normal,รถไฟฟ้า BTS,743000.0
2020-03-03,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,372844.0
2020-03-03,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีม่วง,45918.0
2020-03-03,วันอังคาร,1,normal,normal,รถไฟฟ้า ARL,63037.0
2020-03-03,วันอังคาร,1,normal,normal,รถไฟฟ้า BTS,745000.0
2020-03-04,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,364674.0
2020-03-04,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีม่วง,45501.0
2020-03-04,วันพุธ,1,normal,normal,รถไฟฟ้า ARL,62093.0
2020-03-04,วันพุธ,1,normal,normal,รถไฟฟ้า BTS,738000.0
2020-03-05,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,361229.0
2020-03-05,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีม่วง,44819.0
2020-03-05,วันพหัสบดี,1,normal,normal,รถไฟฟ้า ARL,64741.0
2020-03-05,วันพหัสบดี,1,normal,normal,รถไฟฟ้า BTS,744000.0
2020-03-06,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,371369.0
2020-03-06,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,47226.0
2020-03-06,วันศุกร์,1,normal,normal,รถไฟฟ้า ARL,65964.0
2020-03-06,วันศุกร์,1,normal,normal,รถไฟฟ้า BTS,777000.0
2020-03-07,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,210564.0
2020-03-07,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีม่วง,26802.0
2020-03-07,วันเสาร์,0,normal,normal,รถไฟฟ้า ARL,43805.0
2020-03-07,วันเสาร์,0,normal,normal,รถไฟฟ้า BTS,472000.0
2020-03-08,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,170247.0
2020-03-08,วันอาทิตย์,0,normal,normal,รถไฟฟ้าสายสีม่วง,21327.0
2020-03-08,วันอาทิตย์,0,normal,normal,รถไฟฟ้า ARL,37936.0
2020-03-08,วันอาทิตย์,0,normal,normal,รถไฟฟ้า BTS,389000.0
2020-03-09,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,349968.0
2020-03-09,วันจันทร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,44929.0
2020-03-09,วันจันทร์,1,normal,normal,รถไฟฟ้า ARL,63262.0
2020-03-09,วันจันทร์,1,normal,normal,รถไฟฟ้า BTS,710000.0
2020-03-10,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,352704.0
2020-03-10,วันอังคาร,1,normal,normal,รถไฟฟ้าสายสีม่วง,40610.0
2020-03-10,วันอังคาร,1,normal,normal,รถไฟฟ้า ARL,57369.0
