วันที่,day_type,holiday_subject,รถไฟฟ้า ARL,รถไฟฟ้า BTS,รถไฟฟ้าสายสีชมพู,รถไฟฟ้าสายสีน้ำเงิน,รถไฟฟ้าสายสีม่วง,รถไฟฟ้าสายสีเหลือง,รถไฟฟ้าสายสีแดง,rain_average,dow
2020-05-09,0,normal,9775,123100,not available,62197,10309,not available,not available,0.0,5
2020-05-10,0,normal,7791,97300,not available,48561,8021,not available,not available,0.0,6
2020-05-11,0,วันพืชมงคล (ราชการ),18123,221100,not available,110513,15749,not available,not available,3.7777777777777777,0
2020-05-12,1,normal,20161,252600,not available,127306,19519,not available,not available,0.0,1
2020-05-13,1,normal,20639,251000,not available,127371,18733,not available,not available,0.0,2
2020-05-14,1,normal,20109,251600,not available,125719,18750,not available,not available,3.622222222222222,3
2020-05-15,1,normal,21078,262700,not available,129864,19444,not available,not available,0.7111111111111111,4
2020-05-16,0,normal,11261,142100,not available,72312,11257,not available,not available,0.0444444444444444,5
2020-05-17,0,normal,9705,144900,not available,67284,10708,not available,not available,3.888888888888889,6
2020-05-18,1,normal,23482,235300,not available,142951,20839,not available,not available,0.5333333333333334,0
2020-05-19,1,normal,23026,297200,not available,145401,21041,not available,not available,0.7555555555555555,1
2020-05-20,1,normal,23182,303600,not available,147798,21542,not available,not available,0.3999999999999999,2
2020-05-21,1,normal,23138,300300,not available,146319,21370,not available,not available,0.0444444444444444,3
2020-05-22,1,normal,23526,309900,not available,149868,22300,not available,not available,0.0,4
2020-05-23,0,normal,12691,180800,not available,87637,13852,not available,not available,0.9333333333333332,5
2020-05-24,0,normal,10602,149400,not available,69097,10593,not available,not available,15.488888888888887,6
2020-05-25,1,normal,24125,316700,not available,153448,22788,not available,not available,0.7333333333333334,0
2020-05-26,1,normal,24198,316400,not available,150184,22835,not available,not available,2.1555555555555554,1
2020-05-27,1,normal,25169,325600,not available,158444,23458,not available,not available,0.0666666666666666,2
2020-05-28,1,normal,25129,327600,not available,160084,23432,not available,not available,1.3555555555555554,3
2020-05-29,1,normal,26602,344700,not available,167740,23926,not available,not available,14.955555555555556,4
2020-05-30,0,normal,15680,222100,not available,108647,17102,not available,not available,20.200000000000003,5
2020-05-31,0,normal,13287,185600,not available,88723,13858,not available,not available,1.577777777777778,6
2020-06-01,1,normal,28456,381400,not available,185873,27168,not available,not available,0.8222222222222223,0
2020-06-02,1,normal,29858,394300,not available,191447,27448,not available,not available,10.488888888888887,1
2020-06-03,0,วันเฉลิมฯ พระบรมราชินี,15421,218300,not available,104856,15505,not available,not available,1.1555555555555557,2
2020-06-04,1,normal,29092,389200,not available,190076,27941,not available,not available,5.666666666666668,3
2020-06-05,1,normal,30168,405400,not available,193417,28498,not available,not available,2.1333333333333337,4
2020-06-06,0,normal,17937,260500,not available,122248,19098,not available,not available,1.1777777777777778,5
2020-06-07,0,normal,15102,217600,not available,90497,15244,not available,not available,5.644444444444445,6
2020-06-08,1,normal,30611,409800,not available,193541,28529,not available,not available,5.511111111111111,0
2020-06-09,1,normal,30386,411600,not available,196626,28311,not available,not available,1.5777777777777775,1
2020-06-10,1,normal,32698,421100,not available,202028,28983,not available,not available,0.1111111111111111,2
2020-06-11,1,normal,30559,418900,not available,200613,28663,not available,not available,0.0222222222222222,3
2020-06-12,1,normal,31212,437200,not available,205869,30156,not available,not available,0.1777777777777777,4
2020-06-13,0,normal,19342,283600,not available,132852,19896,not available,not available,0.0,5
2020-06-14,0,normal,15945,231300,not available,107463,16234,not available,not available,28.244444444444444,6
2020-06-15,1,normal,32913,435600,not available,208084,30080,not available,not available,3.0,0
2020-06-16,1,normal,32867,444300,not available,212824,30628,not available,not available,13.622222222222222,1
2020-06-17,1,normal,31561,432300,not available,215879,30893,not available,not available,16.622222222222224,2
2020-06-18,1,normal,31995,448500,not available,216325,30594,not available,not available,6.044444444444444,3
2020-06-19,1,normal,33638,466600,not available,225022,32351,not available,not available,1.3999999999999997,4
2020-06-20,0,normal,21787,307400,not available,143847,21490,not available,not available,0.7555555555555556,5
